name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
"BOSS Legian HotelBadung, 
 
 
 ",Badung,Free Wifi,8.1,Luar Biasa,155,1.000.000,23,199.500,159,1,08-12-2021
"Canggu Dream VillageBadung, 
 
 
 ",Badung,Free Wifi,9.6,Istimewa,2,630.471,5,197.653,158,1,08-12-2021
Atanaya Kuta ,Badung,Free Wifi,9.1,Istimewa,280,1.120.842,5,308.792,247,1,08-12-2021
"MaxOneHotels at UbudGianyar, 
 
 
 ",Gianyar,Free Wifi,8.8,Luar Biasa,19,795.076,35,232.560,186,1,08-12-2021
"Natya Hotel KutaBadung, 
 
 
 ",Badung,Free Wifi,8.9,Luar Biasa,36,605.076,35,393.300,314,1,08-12-2021
"Kamaniiya Petitenget SeminyakBadung, 
 
 
 ",Badung,Free Wifi,,,,842.105,5,360.000,288,1,08-12-2021
"Grand Inna KutaBadung, 
 
 
 ",Badung,Free Wifi,8.9,Luar Biasa,20,3.764.215,35,734.022,587,1,08-12-2021
"Dee MansionDenpasar, 
 
 
 ",Denpasar,Free Wifi,7.6,Sangat Baik,19,240.892,5,146.463,117,1,08-12-2021
"FOX Jimbaran BeachBadung, 
 
 
 ",Badung,Free Wifi,8.3,Luar Biasa,3,915.789,5,356.700,285,1,08-12-2021
"Adiwana Dara Ayu VillasGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,951.578,5,587.600,470,1,08-12-2021
"L Amore Hotel SeminyakBadung, 
 
 
 ",Badung,Free Wifi,8.4,Luar Biasa,35,394.872,35,192.500,154,1,08-12-2021
,Tabanan,Free Wifi,9.4,Istimewa,3,1.029.552,5,978.075,782,1,08-12-2021
"Solaris Hotel KutaBadung, 
 
 
 ",Badung,Free Wifi,8.6,Luar Biasa,111,236.842,5,123.750,99,1,08-12-2021
"Siesta Legian HotelBadung, 
 
 
 ",Badung,Free Wifi,9.2,Istimewa,125,631.578,5,204.000,163,1,08-12-2021
"Tijili SeminyakBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,13,1.563.157,5,445.500,356,1,08-12-2021
Hilton ,Badung,No,8.7,Luar Biasa,7,1.481.027,13,1.285.916,257,1,08-12-2021
"Adiwana Monkey ForestGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,950.526,5,352.170,281,1,08-12-2021
"Adiwana Arkara ResortGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,2.098.606,5,996.838,797,1,08-12-2021
"Singaraja HotelBuleleng, 
 
 
 ",Buleleng,Free Wifi,7.8,Sangat Baik,11,631.578,5,270.000,216,1,08-12-2021
